instance_file,n_items,capacity,total_weight,total_value,feasible,inference_time_ms,selected_items
instance_0000.npz,18,976,943,1172,1,0.5278,"[5, 8, 12]"
instance_0001.npz,50,968,966,1222,1,1.3728,"[26, 46]"
instance_0002.npz,79,1107,1103,1412,1,2.995,"[30, 34, 38]"
instance_0003.npz,56,1162,1159,1454,1,2.1174,"[8, 23, 32, 45]"
instance_0004.npz,69,1746,1746,2243,1,5.0654,"[4, 43, 45, 59, 62, 63]"
instance_0005.npz,97,2732,2731,3487,1,14.9497,"[2, 42, 66, 67, 79, 80, 83]"
instance_0006.npz,67,2400,2397,3069,1,8.9793,"[6, 13, 21, 22, 33, 63]"
instance_0007.npz,94,3685,3683,4680,1,19.6677,"[5, 8, 14, 18, 52, 79, 92]"
instance_0008.npz,86,3739,3739,4795,1,18.1161,"[6, 10, 48, 70, 71, 72]"
instance_0009.npz,57,2618,2618,3346,1,7.5978,"[6, 22, 27, 36, 40, 48, 50]"
instance_0010.npz,57,3279,3278,4136,1,11.4075,"[12, 16, 21, 29, 37, 38, 54]"
instance_0011.npz,70,3896,3895,4876,1,17.8586,"[13, 15, 29, 30, 51, 56, 57]"
instance_0012.npz,94,5201,5201,6593,1,46.7735,"[1, 5, 9, 16, 28, 30, 31, 51, 57, 71, 79, 80, 90]"
instance_0013.npz,66,4326,4325,5537,1,20.3171,"[2, 21, 25, 30, 32, 38, 54, 58, 65]"
instance_0014.npz,33,2529,2522,3179,1,4.4969,"[4, 6, 13, 22, 27, 32]"
instance_0015.npz,80,6144,6144,7730,1,30.4527,"[17, 18, 21, 22, 24, 25, 38, 40, 41, 42, 47, 54, 56, 62, 68]"
instance_0016.npz,78,5968,5966,7492,1,43.7507,"[7, 9, 12, 18, 21, 34, 40, 41, 43, 44, 48, 51, 55, 56, 70, 73, 77]"
instance_0017.npz,30,2611,2608,3267,1,4.8783,"[6, 8, 15, 19, 22, 25]"
instance_0018.npz,68,6833,6831,8602,1,30.0553,"[13, 16, 23, 28, 34, 36, 39, 40, 46, 47, 50, 57, 58, 59, 60]"
instance_0019.npz,71,6345,6345,8026,1,30.6129,"[0, 14, 25, 26, 28, 31, 34, 35, 36, 39, 52, 58, 66, 69]"
instance_0020.npz,51,4573,4572,5571,1,14.8749,"[10, 12, 19, 20, 23, 25, 27, 28, 34, 37, 44, 49]"
instance_0021.npz,99,10400,10396,12825,1,97.3972,"[15, 16, 22, 23, 25, 26, 28, 30, 31, 35, 36, 38, 47, 49, 60, 62, 63, 64, 65, 69, 72, 78, 84, 85, 93, 95, 97]"
