instance_file,n_items,capacity,dp_value,dp_weight,dp_feasible,dp_time_ms,dp_selected_items,gnn_value,gnn_weight,gnn_feasible_actual,gnn_time_ms,gnn_gap,gnn_ratio,gnn_selected_items,gnn_feasible_reported,gnn_items_out_of_range,gnn_oor_item_count,gnn_infeasibility_reason,greedy_value,greedy_weight,greedy_feasible_actual,greedy_time_ms,greedy_gap,greedy_ratio,greedy_selected_items,ga_value,ga_weight,ga_feasible_actual,ga_time_ms,ga_gap,ga_ratio,ga_selected_items,dqn_value,dqn_weight,dqn_feasible_actual,dqn_time_ms,dqn_gap,dqn_ratio,dqn_selected_items
instance_0000.npz,11,910.0,1132.0,910.0,1,2.4115,[3],964.0,892.0,1,8.8667,0.14841,0.85159,"[2, 4, 5, 6, 8]",1,0,0,ok,1092.0,867.0,1,0.162,0.035336,0.964664,"[2, 10]",1132.0,910.0,1,48.0431,0.0,1.0,[3],,,,,,,
instance_0001.npz,77,946.0,1199.0,945.0,1,14.8516,"[16, 30, 50, 64, 70]",1156.0,946.0,1,5.6613,0.035863,0.964137,"[3, 9, 11, 30, 46, 50, 54, 70]",1,0,0,ok,1198.0,943.0,1,0.107,0.000834,0.999166,"[11, 30, 50, 64]",1185.0,943.0,1,154.017,0.011676,0.988324,"[11, 12, 46, 50, 60]",,,,,,,
instance_0002.npz,47,982.0,1245.0,980.0,1,10.4905,"[2, 10, 34]",1151.0,949.0,1,4.592,0.075502,0.924498,"[1, 10, 17, 19, 20, 22, 34, 43]",1,0,0,ok,1235.0,979.0,1,0.0788,0.008032,0.991968,"[6, 10, 17, 31, 34, 37]",1245.0,980.0,1,111.3391,0.0,1.0,"[2, 10, 34]",,,,,,,
instance_0003.npz,34,995.0,1243.0,995.0,1,7.3788,[8],1081.0,920.0,1,3.1692,0.13033,0.86967,"[1, 3, 9, 11, 23, 24, 29]",1,0,0,ok,1183.0,931.0,1,0.0457,0.04827,0.95173,"[1, 3, 11, 19, 29]",1243.0,995.0,1,99.7565,0.0,1.0,[8],,,,,,,
instance_0004.npz,12,954.0,1082.0,945.0,1,2.4804,"[3, 6, 8, 11]",1082.0,945.0,1,2.3724,0.0,1.0,"[3, 6, 8, 11]",1,0,0,ok,1082.0,945.0,1,0.0343,0.0,1.0,"[3, 6, 8, 11]",1082.0,945.0,1,64.7613,0.0,1.0,"[3, 6, 8, 11]",,,,,,,
instance_0005.npz,84,2326.0,2945.0,2322.0,1,61.6432,"[0, 24, 41, 66, 71]",2868.0,2320.0,1,5.5408,0.026146,0.973854,"[0, 6, 7, 11, 16, 20, 22, 24, 25, 51, 61, 71, 72, 76, 82]",1,0,0,ok,2935.0,2316.0,1,0.0581,0.003396,0.996604,"[0, 7, 16, 20, 24, 59, 66, 71, 76]",2944.0,2320.0,1,95.0682,0.00034,0.99966,"[7, 20, 41, 66, 76]",,,,,,,
instance_0006.npz,98,3572.0,4605.0,3571.0,1,121.6338,"[7, 36, 41, 43, 48, 55, 59]",4478.0,3555.0,1,5.3028,0.027579,0.972421,"[16, 29, 36, 39, 42, 43, 48, 50, 59, 65, 66, 67, 80, 86, 92, 95, 96]",1,0,0,ok,4589.0,3565.0,1,0.0663,0.003474,0.996526,"[7, 36, 41, 42, 43, 48, 59, 66, 67, 95, 96]",4596.0,3563.0,1,110.7429,0.001954,0.998046,"[7, 41, 43, 48, 55, 66, 67]",,,,,,,
instance_0007.npz,97,3874.0,4942.0,3872.0,1,139.7347,"[4, 25, 27, 28, 34, 42, 58]",4835.0,3862.0,1,5.0065,0.021651,0.978349,"[4, 25, 28, 33, 34, 39, 51, 69, 71, 81, 84, 92]",1,0,0,ok,4932.0,3873.0,1,0.0534,0.002023,0.997977,"[4, 5, 11, 25, 28, 34, 39, 62, 84]",4898.0,3872.0,1,69.3374,0.008903,0.991097,"[4, 5, 25, 32, 42, 92]",,,,,,,
instance_0008.npz,64,2561.0,3267.0,2560.0,1,59.0068,"[7, 24, 47, 50]",3047.0,2545.0,1,3.7725,0.06734,0.93266,"[1, 3, 5, 7, 8, 11, 15, 19, 23, 28, 37, 38, 44, 47, 51, 62]",1,0,0,ok,3267.0,2560.0,1,0.0501,0.0,1.0,"[7, 24, 47, 50]",3267.0,2560.0,1,87.3303,0.0,1.0,"[7, 24, 47, 50]",,,,,,,
instance_0009.npz,38,1989.0,2345.0,1984.0,1,23.0832,"[0, 7, 8, 17, 24, 33]",2276.0,1940.0,1,3.1842,0.029424,0.970576,"[0, 5, 7, 8, 17, 18, 19, 22, 24]",1,0,0,ok,2339.0,1965.0,1,0.0412,0.002559,0.997441,"[0, 8, 17, 22, 24, 33]",2345.0,1984.0,1,108.6825,0.0,1.0,"[0, 7, 8, 17, 24, 33]",,,,,,,
instance_0010.npz,35,1732.0,2171.0,1731.0,1,21.5389,"[0, 4, 7, 12, 30]",2010.0,1683.0,1,7.5857,0.074159,0.925841,"[0, 4, 6, 11, 12, 17, 19, 20, 21, 22]",1,0,0,ok,2144.0,1731.0,1,0.0444,0.012437,0.987563,"[0, 4, 12, 20, 21, 22, 30]",2171.0,1731.0,1,139.19,0.0,1.0,"[0, 4, 7, 12, 30]",,,,,,,
instance_0011.npz,63,4342.0,5494.0,4337.0,1,99.135,"[3, 4, 9, 15, 17, 27, 42, 49, 54, 60]",5390.0,4316.0,1,3.8963,0.01893,0.98107,"[3, 4, 6, 9, 10, 11, 15, 17, 22, 27, 30, 42, 51, 54]",1,0,0,ok,5487.0,4327.0,1,0.0451,0.001274,0.998726,"[4, 9, 17, 22, 30, 42, 49, 54, 60]",5472.0,4336.0,1,143.2601,0.004004,0.995996,"[12, 17, 27, 42, 54, 56]",,,,,,,
instance_0012.npz,36,2210.0,2819.0,2207.0,1,27.7471,"[3, 5, 17, 18, 20, 27]",2616.0,2164.0,1,4.071,0.072011,0.927989,"[3, 7, 10, 13, 16, 18, 19, 20, 21, 22, 23, 27]",1,0,0,ok,2818.0,2209.0,1,0.0372,0.000355,0.999645,"[3, 5, 16, 18, 19, 23]",2819.0,2207.0,1,89.612,0.0,1.0,"[3, 5, 17, 18, 20, 27]",,,,,,,
instance_0013.npz,61,4489.0,5655.0,4487.0,1,103.845,"[3, 7, 10, 15, 21, 26, 30, 31, 48, 53, 60]",5482.0,4412.0,1,3.7204,0.030592,0.969408,"[3, 7, 9, 10, 15, 20, 21, 30, 31, 33, 40, 48, 53, 60]",1,0,0,ok,5604.0,4431.0,1,0.045,0.009019,0.990981,"[3, 7, 9, 10, 21, 26, 30, 31, 48, 53, 60]",5592.0,4469.0,1,79.7791,0.011141,0.988859,"[3, 7, 26, 30, 31, 42, 45, 48]",,,,,,,
